Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
-- Может быть.	corrigió el tártaro.	It seems to me as if he too were happy.	— Prego, eccellenza, — diceva a Levin, mostrando di occuparsi, in segno di deferenza verso Stepan Arkad’ic, anche dell’ospite.	?
Но все-таки мне дико, так же как мне дико теперь то, что мы, деревенские жители, стараемся поскорее наесться, чтобы быть в состоянии делать свое дело, а мы с тобой стараемся как можно дольше не наесться и для этого едим устрицы...	Pero Oblonsky no quería darle la satisfacción de mencionar los platos en francés.	It is like madness!	Dopo aver steso, in un batter d’occhio, una tovaglia di bucato su di un tavolo tondo già ricoperto di un’altra tovaglia, proprio sotto a un doppiere di bronzo, accostò le sedie di velluto e si piantò davanti a Stepan Arkad’ic col tovagliolo e la lista in mano, aspettando ordini.	Wollen wir fahren?« fragte er.
-- Ну, разумеется, -- подхватил Степан Аркадьич. --	–	But there is one awful thing about it.	— Se vostra eccellenza ordina un salottino separato, subito se ne farà uno libero:	»Ich habe fortwährend an dich gedacht und bin sehr froh, daß du hierher nach der Eisbahn gekommen bist«, sagte er und blickte ihm bedeutsam in die Augen.
Но в этом-то и цель образования: изо всего сделать наслаждение.	Sopa juliana, juliana, ¿entiendes?	You, who are married, know the feeling...	il principe Golycin con una signora.	»Schön, schön, fahren wir!« antwortete der glückliche Ljewin, dem immer noch so war, als höre er den Ton der Stimme, die zu ihm ›Auf Wiedersehen!‹ gesagt hatte, und als sähe er das Lächeln, mit dem diese Worte gesprochen worden waren.
-- Ну, если это цель, то я желал бы быть диким,	Luego rodaballo, con la salsa muy espesa; luego... rosbif, pero que sea bueno, ¿eh?	it is awful that we – who are comparatively old and have pasts... not of love but of sin...	Sono arrivate le ostriche fresche.	»Nach dem Hotel d'Angleterre oder nach der Eremitage?«
--	Después, pollo y algo de conservas.	suddenly we come into close intimacy with a pure innocent being!	— Ah, le ostriche!	»Mir ganz gleich.«
Ты и так дик...	El tártaro, recordando la costumbre de Oblonsky de no nombrar los manjares con los nombres de la cocina francesa, no quiso insistir, pero se tomó el desquite, repitiendo todo lo encargado tal como estaba escrito en la carta.	That is disgusting, and therefore one can't help feeling oneself unworthy.'	Stepan Arkad’ic si mise a pensare.	»Na, dann nach dem Hotel d'Angleterre«, entschied Stepan Arkadjewitsch.
Вы все Левины дики.	–Soupe printanière, turbot à la Beaumarchais, poularde à l'estragon, macedoine de fruits...	'Well, there haven't been many sins in your past!'	— Dobbiamo cambiare piano, Levin?	Er wählte dieses Restaurant deswegen, weil er da mehr schuldig war als in der Eremitage.
Левин вздохнул.	Y en seguida después, como movido por un resorte, cambió la carta que tenía en las manos por la de los vinos y la presentó a Oblonsky.	'Ah, but all the same,' said Levin, 'looking back at my life, I tremble and curse and bitterly regret... Yes!'	— disse fermando un dito sulla carta.	Aus diesem Grunde hielt er es für unpassend, dieses Hotel zu meiden.
Он вспомнил о брате Николае, и ему стало совестно и больно, и он нахмурился; но Облонский заговорил о таком предмете, который тотчас же отвлек его.	–¿Qué bebemos?	'What's to be done?	Il suo viso esprimeva seria perplessità.	»Hast du eine Droschke?
-- Ну что ж, поедешь нынче вечером к нашим, к Щербацким то есть? -- сказал он, отодвигая пустые шершавые раковины, придвигая сыр и значительно блестя глазами.	–Lo que quieras; acaso un poco de... champaña	That's the way the world is made,' said Oblonsky.	— Son buone le ostriche?	Das ist ja vortrefflich;
-- Да, я непременно поеду, -- отвечал Левин.	–indicó Levin.	"'My one consolation is that prayer that I like so much: ""Not according to my deserts but according to Thy mercy!"""	Bada, ve’!	ich habe nämlich meinen Wagen wieder nach Hause geschickt.«
--	–	And she too can only forgive me that way.'	— Di Flensburg, eccellenza, non di Ostenda.	Während der ganzen Fahrt schwiegen die beiden Freunde.
Хотя мне показалось, что княгиня неохотно звала меня.	¿Champaña para empezar?	CHAPTER XI	— Flensburg o non Flensburg, sono poi fresche?	Ljewin dachte darüber nach, was jener Wechsel des Ausdrucks auf Kittys Gesicht wohl zu bedeuten gehabt habe, und gab sich bald dem Glauben hin, daß er hoffen dürfe, bald geriet er in Verzweiflung und sah klar ein, daß seine Hoffnung sinnlos sei, fühlte sich aber trotzdem als ein ganz anderer Mensch, völlig unähnlich dem, der er vor ihrem Lächeln und vor den Worten »Auf Wiedersehen!« gewesen war.
--	Pero bueno, como tú quieras.	LEVIN EMPTIED HIS GLASS and they were silent for a while.	—	Stepan Arkadjewitsch stellte unterwegs in Gedanken die Speisenfolge des Mittagsmahles zusammen.
Что ты!	¿Cómo te gusta?	'There is one thing more that I must tell you,' began Oblonsky.	Le abbiamo avute ieri, eccellenza.	»Du ißt doch wohl gern Steinbutt?« fragte er Ljewin, als sie an dem Restaurant vorfuhren.
Вздор какой!	¿Carta blanca?	'You know Vronsky?'	— E va bene, non potremmo forse incominciare dalle ostriche e poi cambiare tutto il piano?	»Was?« erwiderte Ljewin.
Это ее манера...	–Cachet blanc –dijo el tártaro.	'No, I don't.	Eh?	»Steinbutt?
Ну давай же, братец, суп!..	–	Why do you ask?'	— Per me è lo stesso.	Ja, Steinbutt esse ich leidenschaftlich gern.«
Это ее манера, grande dame, -- сказал Степан Аркадьич. --	Sí: esto con las ostras.	'Another bottle!' said Oblonsky, turning to the Tartar, who was filling their glasses and hovering round them just when he was not wanted.	Per me meglio di tutto... zuppa di cavoli e polenta.	10.
Я тоже приеду, но мне на спевку к графине Баниной надо.	Luego, ya veremos.	'Why do I need to know Vronskij?'	Ma qui non c’è di questa roba.	Als Ljewin mit Oblonski in das Hotel trat, drängte sich jenem die Wahrnehmung auf, daß Oblonskis Gesicht und gesamte Gestalt einen ganz besonderen Eindruck machten, gleichsam den Eindruck eines verhaltenen strahlenden Leuchtens.
Ну как же ты не дик?	–	'The reason you ought to know Vronsky is this: he is one of your rivals.'	— Kaša a la rjùss?	Oblonski legte den Überzieher ab und ging, den Hut schief auf einem Ohr, in den Speisesaal.
Чем же объяснить то, что ты вдруг исчез из Москвы?	Bien, Excelencia.	'What is he?' asked Levin, the expression of childlike rapture which Oblonsky had been admiring suddenly changing into an angry and unpleasant one.	desidera il signore?	Während des Gehens erteilte er den tatarischen Kellnern, die im Frack, das Tellertuch unter dem Arm, ihn umdrängten und begleiteten, seine Befehle.
Щербацкие меня опрашивали о тебе беспрестанно, как будто я должен знать.	¿De vinos de mesa?	'Vronsky is one of Count Cyril Ivanovich Vronsky's sons, and a very fine sample of the gilded youth of Petersburg.	— disse il tartaro chinandosi su Levin come una balia sul bambino.	Indem er sich nach rechts und links gegen Bekannte verbeugte, die er auch hier in Menge fand und die ihn wie überall freudig begrüßten, ging er an den Schanktisch, trank einen Schnaps, aß ein Stückchen Fisch dazu und machte zu der geschminkten, mit Bändern, Spitzen und Haarwickeln aufgeputzten Französin, die als Kassiererin dasaß, eine Bemerkung, worüber diese laut lachen mußte.
А я знаю только одно: ты делаешь всегда то, что никто не делает.	–Tal vez Nuit...	I met him in Tver when I was in the Service there and he came on conscription duty.	— No, scherzi a parte, per me va bene quello che sceglierai tu.	Ljewin hingegen verzichtete nur deswegen auf einen Schnaps, weil ihm diese Französin, die ganz aus falschem Haar, poudre de riz und vinaigre de toilette1 zusammengesetzt zu sein schien, gar zu widerwärtig war.
-- Да, -- сказал Левин медленно и взволнованно.	Pero no: vale más el clásico Chablis.	Awfully rich, handsome, with influential connections, an aide-de-camp to the Emperor, and at the same time very good-natured – a first-rate fellow.	Ho pattinato un po’ e ora ho voglia di mangiare.	Wie von einem unsauberen Orte trat er schnell von ihr weg.
-- Ты прав, я дик.	–	And he's even more than a first-rate fellow.	E non credere — aggiunse notando sul viso di Oblonskij un’aria di disappunto — che non apprezzi la tua scelta.	Seine ganze Seele war von der Erinnerung an Kitty erfüllt, und in seinen Augen leuchtete ein Lächeln des Triumphes und des Glückes.
Но только дикость моя не в том, что я уехал, а в том, что я теперь приехал.	Bien.	As I have got to know him now, he turns out to be both educated and very clever – a man who will go far.'	Mangerò e con gusto.	»Bitte, hierher, Euer Durchlaucht;
Теперь я приехал.	¿Tomará Su Excelencia su queso?	Levin frowned and was silent.	— Altro che!	hier werden Euer Durchlaucht ungestört sein«, sagte ein mit besonderer Beflissenheit sich an sie herandrängender alter Tatar mit blassem Gesichte und breiten Hüften, über denen die Frackschöße auseinanderklafften.
-- О, какой ты счастливец!	–	'Well, so he came here soon after you left, and as far as I can make out is head over ears in love with Kitty; and you understand that her mother...'	Di’ quello che vuoi, ma questo è uno dei piaceri della vita — disse Stepan Arkad’ic.	»Bitte, Euer Durchlaucht«, sagte er auch zu Ljewin;
-- подхватил Степан Аркадьич, глядя в глаза Левину.	Sí: de Parma.	'Pardon me, but I understand nothing,' said Levin, dismally knitting his brows.	— Su, allora, amico mio, dacci due dozzine, ma forse è poco, tre dozzine di ostriche, una minestra di radiche...	denn zum Zeichen besonderer Verehrung für Stepan Arkadjewitsch wollte er auch dessen Gast achtungsvoll behandeln.
-- Отчего?	¿O prefieres otro?	And at once he thought of his brother Nicholas and how mean he was to forget him.	— Prentanjèr — riprese il tartaro.	Im Nu hatte er ein frisches Tuch über einen bereits gedeckten runden Tisch unter einem bronzenen Wandleuchter gebreitet und die Samtsessel herangerückt;
-- Узнаю коней ретивых по каким-то их таврам, юношей влюбленных узнаю по их глазам, -- продекламировал Степан Аркадьич. --	–A mí me da lo mismo –dijo Levin, sin poder reprimir una sonrisa.	'You just wait a bit, wait!' said Oblonsky, smiling and touching Levin's arm.	Ma Stepan Arkad’ic evidentemente non voleva concedergli la soddisfazione di chiamare le pietanze in francese.	dann stellte er sich, das Tellertuch und die Speisekarte in den Händen, vor Stepan Arkadjewitsch hin und erwartete seine Bestellungen.
У тебя все впереди.	El tártaro se alejó corriendo, con los faldones de su frac flotándole hacia atrás, y cinco minutos más tarde volvió con una bandeja llena de ostras ya abiertas en sus conchas de nácar y con una botella entre los dedos.	'I have told you what I know, and I repeat that, as far as anyone can judge in so delicate and subtle a matter, I believe the chances are all on your side.'	— Di radiche, sai.	»Wenn Euer Durchlaucht ein besonderes Kabinett befehlen, es wird sofort eines frei werden: Fürst Golizün mit einer Dame.
-- А у тебя разве уж назади?	Esteban Arkadievich arrugó la servilleta almidonada, colocó la punta en la abertura del chaleco y, apoyando los brazos sobre la mesa, comenzó a comer las ostras.	Levin leant back in his chair.	Poi del rombo con una salsa densa, poi del rosbif:	Wir haben frische Austern bekommen.«
-- Нет, хоть не назади, но у тебя будущее, а у меня настоящее -- так, в пересыпочку.	–No están mal –dijo, mientras separaba las–ostras de las conchas con un tenedorcito de plata y las engullía una tras otra–.	His face was pale.	ma guarda che sia buono.	»Ah, Austern!«
-- А что?	No están mal –repitió, mirando con sus brillantes ojos, ora a Levin, ora al tártaro.	'But I should advise you to settle the question as soon as possible,' Oblonsky continued, filling Levin's glass.	Un cappone, e che so, via, della macedonia di frutta.	Stepan Arkadjewitsch überlegte.
-- Да нехорошо.	Levin comió ostras también, aunque habría preferido queso y pan blanco, pero no podía menos de admirar a Oblonsky.	'No, thanks!	Il tartaro, ricordatosi che Stepan Arkad’ic aveva l’abitudine di non nominare mai le portate in francese, non gli tenne dietro a ripetere, ma si concesse infine la soddisfazione di elencare tutta l’ordinazione secondo la carte:	»Sollen wir den Kriegsplan ändern, Ljewin?« fragte er.
Ну, да я о себе же хочу говорить, и к тому же объяснить всего нельзя, -- сказал Степан Аркадьич.	Hasta el mismo tártaro, después de haber descorchado la botella y escanciado el vino espumoso en las finas copas de cristal, contempló con visible placer a Esteban Arkadievich, mientras se arreglaba su corbata blanca.	I can't drink any more,' said Levin pushing his glass aside, 'or I shall be tipsy...	«Sup prentanjèr, tjurbò sos Bomaršé, pulàrd alestragón, maseduàn de frjuì»;	Er hatte den Finger auf die Speisekarte gesetzt, und auf seinem Gesicht lag der Ausdruck ernsten Zweifels.
--	–	Well, and how are you getting on?' he continued, evidently wishing to change the subject.	— e subito, come una molla, riposta la lista rilegata e presane un’altra, quella dei vini, la sottopose a Stepan Arkad’ic.	»Sind die Austern auch gut?
Так ты зачем же приехал в Москву?..	¿No te gustan las ostras? –preguntó éste a Levin–.	'One word more!	— E cosa berremo?	Nimm dich in acht!«
Эй, принимай! -- крикнул он татарину.	¿O es que estás preocupado por algo?	In any case, I advise you to decide the question quickly, but I shouldn't speak to-day,' said Oblonsky.	— Per me quello che vuoi tu;	»Flensburger, Euer Durchlaucht;
-- Ты догадываешься?	Deseaba que Levin se sintiese alegre.	'Go tomorrow morning and propose in the classic manner, and may heaven bless you!'	pur che non sia molto... Dello champagne.	Ostender haben wir nicht.«
-- отвечал Левин, не спуская со Степана Аркадьича своих в глубине светящихся глаз.	Levin no estaba triste, se sentía sólo a disgusto en el ambiente del restaurante, que contrastaba tanto con su estado de ánimo de aquel momento.	'You have so often promised to come and shoot with me – why not come this spring?' said Levin.	— Come?	»Ob Flensburger oder andere, darauf kommt es nicht an;
-- Догадываюсь, но не могу начать говорить об этом.	No, no se encontraba bien en aquel establecimiento con sus reservados donde se llevaba a comer a las damas; con sus bronces, sus espejos y sus tártaros.	He now repented with his whole heart of having begun this conversation with Oblonsky.	In principio?	aber sind sie auch frisch?«
Уж по этому ты можешь видеть, верно или не верно я догадываюсь, -- сказал Степан Аркадьич, с тонкою улыбкой глядя на Левина.	Sentía la impresión de que aquello había de mancillar los delicados sentimientos que albergaba su corazón.	His personal feelings had been desecrated by the mention of some Petersburg officer as his rival, and by Oblonsky's conjectures and advice.	Ma sì, hai ragione.	»Wir haben sie gestern bekommen.«
-- Ну что же ты скажешь мне? -- сказал Левин дрожащим голосом и чувствуя, что на лице его дрожат все мускулы.	–¿Yo?–.	Oblonsky smiled.	Ti piace quello di marca bianca?	»Nun also, wie wär's
--	Sí, estoy preocupado...	He understood what was going on in Levin's soul.	— Kašé blan — riprese il tartaro.	?
Как ты смотришь на это?	Además, a un pueblerino como yo, no puedes figurarte la impresión que le causan estas cosas.	'I'll come some day,' he said.	— Su, via, dacci marca bianca sulle ostriche, e poi vedremo.	Wollen wir mit Austern anfangen und demgemäß dann den ganzen Plan umändern?
Степан Аркадьич медленно выпил свой стакан шабли, не спуская глаз с Левина.	Es, por ejemplo, como las uñas de aquel señor que me presentaste en tu oficina.	'Ah, old chap, women are the pivot on which everything turns!	— Sissignore.	Wie?«
-- Я?	–Ya vi que las uñas del pobre Grinevich te impresionaron mucho –dijo Oblonsky, riendo.	Things are in a bad way with me too, very bad, and all on account of women.	E quale vino da pasto?	»Mir ganz gleich
-- сказал Степан Аркадьич, -- я ничего так не желал бы, как этого, ничего.	–	Tell me quite frankly...'	—	.
Это лучшее, что могло бы быть.	¡Son cosas insoportables para mí! –repuso Levin–.	He took out a cigar, and with one hand on his glass he continued: 'Give me some advice.'	Del nuits;	Ich äße am liebsten Kohlsuppe und Grütze;
-- Но ты не ошибаешься?	Ponte en mi lugar, en el de un hombre que vive en el campo.	'Why?	ma no, allora è meglio il classico chablis.	aber so etwas gibt es hier ja nicht.«
Ты знаешь, о чем мы говорим? -- проговорил Левин, впиваясь глазами в своего собеседника.	Allí procuramos tener las manos de modo que nos permitan trabajar más cómodamente; por eso nos cortamos las uñas y a veces nos remangamos el brazo...	What is the matter?'	— Sissignore, il solito formaggio?	»Befehlen Sie Grütze à la russe?« fragte der Tatar und beugte sich über Ljewin wie eine Wärterin über ein kleines Kind.
-- Ты думаешь, что это возможно?	En cambio, aquí la gente se deja crecer las uñas todo lo que pueden dar de sí y se pone unos gemelos como platos para acabar de dejar las manos en estado de no poder servir para nada.	'Well, it's this. Supposing you were married and loved your wife, but had been fascinated by another woman...	— Ma sì;	»Nein, ohne Scherz, was du auswählst, wird mir recht sein.
-- Думаю, что возможно.	Esteban Arkadievich sonrió jovialmente.	'Excuse me, but really I... it's quite incomprehensible to me.	del parmigiano.	Ich bin Schlittschuh gelaufen und habe tüchtigen Appetit.
Отчего же невозможно?	–Señal de que no es preciso un trabajo rudo, que se labora con el cerebro... –alegó.	It's as if... just as incomprehensible as if I, after eating my fill here, went into a baker's shop and stole a roll.'	O te ne piace un altro?	Und du brauchst nicht zu glauben«, fügte er hinzu, als er auf Oblonskis Gesicht eine gewisse Unzufriedenheit bemerkte, »daß ich deine Auswahl nicht werde nach Gebühr zu würdigen wissen.
-- Нет, ты точно думаешь, что это возможно?	–	Oblonsky's eyes glittered more than usual.	— No, per me è lo stesso — disse Levin trattenendo a stento un sorriso.	Es wird mir großes Vergnügen bereiten, gut zu speisen.«
Нет, ты скажи все, что ты думаешь!	Quizá.	'Why not?	E il tartaro con le falde svolazzanti, corse via e dopo cinque minuti entrò volando con un vassoio di ostriche aperte sui gusci di madreperla e una bottiglia fra le dita.	»Es wäre auch schlimm, wenn's nicht der Fall wäre!« erwiderte Stepan Arkadjewitsch.
Ну, а если, если меня ждет отказ?..	Pero de todos modos a mí eso me causa una extraña impresión; como me la causa el que nosotros los del pueblo procuremos comer deprisa para ponernos en seguida a trabajar otra vez, mientras que aquí procuráis no saciaros demasiado aprisa y por eso empezáis por comer ostras.	Rolls sometimes smell so that one can't resist them!'	Stepan Arkad’ic spiegazzò il tovagliolo inamidato, se lo ficcò nel panciotto e, posate tranquillamente le braccia sulla tavola, prese a occuparsi delle ostriche.	»Man mag sagen, was man will, das ist einer der schönsten Lebensgenüsse.
И я даже уверен...	–	'Himmlisch ist's, wenn ich bezwungen Meine irdische Begier; Aber doch wenn's nicht gelungen Hatt' ich auch recht hübsch Plaisir!'	— Non sono cattive — diceva, strappando con la forchetta d’argento le ostriche in guazzo dal guscio di madreperla e inghiottendone una dietro l’altra.	Nun also, Freundchen, dann gib uns Austern, zwei, oder nein, das ist ein bißchen wenig, drei Dutzend;
--	Naturalmente –repuso su amigo–.	['It is heavenly when I have mastered my earthly desires; but when I have not succeeded, I have also had right good pleasure!']	— Non sono cattive — ripeteva, alzando gli occhi umidi e lustri ora su Levi, ora sul tartaro.	Suppe mit allerlei Grünzeug darin ...«
Отчего же ты это думаешь? -- улыбаясь на его волнение, сказал Степан Аркадьич.	El fin de la civilización consiste en convertir todas las cosas en un placer.	Oblonsky repeated these lines with a subtle smile and Levin himself could not help smiling.	Levin mangiava anche lui le ostriche, sebbene il pane bianco col formaggio gli piacesse di più.	»
-- Так мне иногда кажется.	–Pues si ése es el fin de la civilización, prefiero ser un salvaje.	'No, but joking apart,' continued Oblonsky, 'just consider.	Ma si beava a guardare Oblonskij.	Printanière
Ведь это будет ужасно и для меня и для нее.	–Eres un salvaje sin necesidad de eso.	A woman, a dear, gentle, affectionate creature, poor and lonely, sacrifices everything.	Perfino il tartaro che aveva stappato lo champagne e lo versava nelle larghe coppe sottili guardava Stepan Arkad’ic con un evidente sorriso di compiacimento, aggiustandosi la cravatta bianca.	«
-- Ну, во всяком случае для девушки тут ничего ужасного нет.	Todos los Levin lo sois.	Now when the thing is done... just consider, should one forsake her?	— Ma non ti piacciono le ostriche?	, schaltete der Tatar ein.
Всякая девушка гордится предложением.	Levin suspiró.	Granted that one ought to part with her so as not to destroy one's family life, but oughtn't one to pity her and provide for her and make things easier?'	— disse Stepan Arkad’ic vuotando la coppa — o forse sei preoccupato?	Aber Stepan Arkadjewitsch wollte ihm offenbar nicht den Gefallen tun, die Gerichte französisch zu benennen.
-- Да, всякая девушка, но не она.	Recordó a su hermano Nicolás y se sintió avergonzado y dolorido.	'As to that, you must pardon me.	Eh?	»Mit allerlei Grünzeug darin, verstehst du wohl?
Степан Аркадьич улыбнулся.	Arrugó el entrecejo.	You know that for me there are two kinds of women... or rather, no!	Voleva che Levin stesse di buon umore.	Dann Steinbutt mit einer so dicken Tunke, dann – Roastbeef; und sorge dafür, daß es gut ist.
Он так знал это чувство Левина, знал, что для него все девушки в мире разделяются на два сорта: один сорт -- это все девушки в мире, кроме ее, и эти девушки имеют все человеческие слабости, и девушки очень обыкновенные; другой сорт -- она одна, не имеющая никаких слабостей и превыше всего человеческого.	Pero ya Oblonsky le hablaba de otra cosa que distrajo su atención.	There are women, and there are...	Non che Levin non fosse di buon umore, ma era piuttosto impacciato.	Dann Kapaun, nicht wahr?
-- Постой, соуса возьми, -- сказал он, удерживая руку Левина, который отталкивал от себя соус.	–	I have never seen any charming fallen creatures, and never shall see any; and people like that painted Frenchwoman with her curls out there by the counter, are an abomination to me, and all these fallen ones are like her.'	Con quello che aveva nell’animo provava sgomento e disagio in quel ristorante, in mezzo a salottini riservati dove si pranzava con donne, fra un andirivieni di gente e in mezzo a tutta quella mostra, a quello sfoggio di bronzi, specchi, becchi a gas e tartari.	Na, und natürlich Kompott.«
Левин покорно положил себе соуса, но не дал есть Степану Аркадьичу.	¿Visitarás esta noche a los Scherbazky?	'And the one in the Gospels?'	Tutto questo lo offendeva.	Der Tatar, der sich inzwischen erinnert hatte, daß es eine Eigenheit Stepan Arkadjewitschs war, die Gerichte nicht mit den auf der französischen Speisekarte angegebenen Namen zu bezeichnen, hatte ihm nicht mehr die einzelnen Namen französisch nachgesprochen, machte sich aber nun zum Schluß das Vergnügen, die ganze Bestellung nach der Speisekarte zu wiederholen: »Soupe printanière, turbot sauce Beaumarchais, rosbif à l'anglaise, poularde à l'estragon, macédoine de fruits.2«
-- Нет, ты постой, постой, -- сказал он.	¿Quiero decir a...? –agregó, separando las conchas vacías y acercando el queso, mientras sus ojos brillaban de manera significativa.	'Oh, don't!	Aveva paura di contaminare quel che gli riempiva l’anima.	Unmittelbar darauf legte er, als ob seine Bewegungen durch innerlich angebrachte Federn geregelt würden, die eine buchförmig eingebundene Karte, die Speisekarte, hin, ergriff die andere, die Weinkarte, und reichte diese Stepan Arkadjewitsch.
--	–No dejaré de ir –repuso Levin–, aunque creo que la Princesa me invitó de mala gana.	Christ would never have spoken those words, had he known how they would be misused!	— Io?	»Was wollen wir trinken?«
Ты пойми, что это для меня вопрос жизни и смерти.	–	They are the only words in the Gospels that seem to be remembered.	Sì, sono preoccupato;	»Ich trinke, was du willst, nur nicht zuviel;
Я никогда ни с кем не говорил об этом.	¡No digas tonterías!	However, I am not saying what I think, but what I feel.	ma poi tutto questo mi dà soggezione — disse.	meinetwegen Champagner«, erwiderte Ljewin.
И ни с кем я не могу говорить об этом, как с тобою.	Es su modo de ser.	I have a horror of fallen women.	— Tu non puoi immaginare come per me, abitante della campagna, tutto questo sia strano, così come le unghie di quel signore che ho visto da te...	»Was, gleich von Anfang an?
Ведь вот мы с тобой по всему чужие: другие вкусы, взгляды, все; но я знаю, что ты меня любишь и понимаешь, и от этого я тебя ужасно люблю Но, ради бога, будь вполне откровенен.	Sírvanos la sopa, amigo –dijo Oblonsky al camarero–.	You are repelled by spiders and I by those creatures.	— Già, ho visto che le unghie del povero Grinevic ti interessavano molto — disse, ridendo, Stepan Arkad’ic.	Aber du hast recht;
--	Es su manera de grande dame.	Probably you never studied spiders and know nothing of their morals; and it's the same in my case!'	— Non riesco a capire — rispose Levin.	meinetwegen!
Я тебе говорю, что я думаю, -- сказал Степан Аркадьич улыбаясь. --	Yo también pasaré por allí, pero antes he de estar en casa de la condesa Bonina.	'It's all very well for you to talk like that – it's like that gentleman in Dickens, who with his left hand threw all difficult questions over his right shoulder.	— Ma tu cerca di metterti nei panni miei, mettiti dal punto di vista dell’abitante di campagna.	Trinkst du gern weißgesiegelten?«
Но я тебе больше скажу: моя жена -- удивительнейшая женщина... --	Hay allí un coro, que... Como te decía, eres un salvaje...	But denying a fact is no answer.	Noi in campagna cerchiamo di avere le mani fatte in modo che sia comodo lavorarci, perciò le unghie le tagliamo, e qualche volta ci rimbocchiamo le maniche.	»Cachet blanc3«, schaltete der Tatar ein.
Степан Аркадьич вздохнул, вспомнив о своих отношениях с женою, и, помолчав с минуту, продолжал:-- У нее есть дар предвидения.	¿Cómo se explica tu desaparición repentina de Moscú?	What am I to do?	E qui invece c’è chi lascia crescere le unghie finché reggono e si aggancia ai polsi bottoni che paion piattini, in modo da non poter far più nulla con le mani.	»Na, dann bring uns zu den Austern diese Marke;
Она насквозь видит людей; но этого мало, -- она знает, что будет, особенно по части браков.	Los Scherbazky no hacían más que preguntarme por ti, como si yo pudiera saber...	Tell me, what am I to do?	Stepan Arkad’ic sorrideva allegro.	nachher wollen wir weiter sehen.«
Она, например, предсказала, что Шаховская выйдет за Брентельна.	Y sólo sé una cosa: que haces siempre lo contrario que los demás.	My wife is getting old, and I am full of vitality.	— Eh, già.	»Zu Befehl.
Никто этому верить не хотел, а так вышло.	–Tienes razón: soy un salvaje –concedió Levin, hablando lentamente, pero con agitación–, pero si lo soy, no es por haberme ido entonces, sino por haber vuelto ahora.	A man hardly has time to turn round, before he feels that he can no longer love his wife in that way, whatever his regard for her may be.	Questo vuol dire che per lui il lavoro manuale non è più necessario.	Und welchen Tischwein befehlen Sie?«
И она -- на твоей стороне.	–¡Qué feliz eres! –interrumpió su amigo, mirándole a los ojos.	And then all of a sudden love crosses your path, and you're lost, lost!' said Oblonsky with despair.	È il cervello che lavora...	»Bring uns Nuits!
-- То есть как?	–¿Por qué?	Levin smiled.	— Sarà.	Oder nein, lieber einen recht guten Chablis!«
-- Так, что она мало того что любит тебя, -- она говорит, что Кити будет твоею женой непременно.	–	'Yes, I am lost,' continued Oblonsky.	Ma per me ciò è strano;	»Zu Befehl.
При этих словах лицо Левина вдруг просияло улыбкой, тою, которая близка к слезам умиления.	Conozco los buenos caballos por el pelo y a los jóvenes enamorados por los ojos –declaró Esteban Arkadievich–.	'But what am I to do?'	così come, per me, è strano che, mentre noi abitanti di campagna cerchiamo di saziarci al più presto per metterci in condizione di compiere il nostro lavoro, noi due, in questo momento, stiamo facendo di tutto per non saziarci;	Und den Käse, den Euer Durchlaucht auch sonst immer nehmen?«
-- Она это говорит! -- вскрикнул Левин.	El mundo es tuyo...	'Don't steal rolls.'	e per questo mangiamo le ostriche...	»Na ja, Parmesan.
--	El porvenir se abre ante ti...	Oblonsky burst out laughing.	— Su via, ma s’intende — riprese Stepan Arkad’ic.	Oder bevorzugst du einen anderen?«
Я всегда говорил, что она прелесть, твоя жена.	–¿Acaso tú no tienes ya nada ante ti?	'Oh, you moralist!	— Ma è proprio in questo lo scopo dell’evoluzione:	»Nein, mir ist es ganz gleich«, erwiderte Ljewin, ohne ein Lächeln unterdrücken zu können.
Ну и довольно, довольно об этом говорить, -- сказал он, вставая с места.	–	But just consider, here are two women: one insists only on her rights, and her rights are your love, which you cannot give her; and the other sacrifices herself and demands nothing.	nel fare di tutto un godimento.	Der Tatar lief mit flatternden Frackschößen hinaus und kam nach fünf Minuten mit einer Schüssel voll geöffneter Austern in ihren perlmutterglänzenden Schalen und mit einer Flasche zwischen den Fingern wieder hereingeflogen.
-- Хорошо, но садись же.	Sí, pero el porvenir es tuyo.	What are you to do?	— Se questo è lo scopo, aspirerei a essere un selvaggio.	Stepan Arkadjewitsch zerknitterte das gestärkte Mundtuch, steckte es mit einem Zipfel unter die Weste, legte in aller Ruhe die Arme auf den Tisch und machte sich an die Austern.
Но Левин не мог сидеть.	Yo tengo sólo el presente, y este presente no es precisamente de color de rosa.	How are you to act?	— Sei un selvaggio anche così.	»Nicht übel«, sagte er, während er die Austern mit dem silbernen Gäbelchen aus der schillernden Schale löste und eine nach der anderen verschluckte.
Он прошелся два раза своими твердыми шагами по клеточке-комнате, помигал глазами, чтобы не видно было слез, и тогда только сел опять за стол.	–¿Y eso?	It is a terrible tragedy.'	Voi Levin siete tutti selvaggi.	»Nicht übel«
-- Ты пойми, -- сказал он, -- что это не любовь.	–	'If you want me to say what I think of it, I can only tell you that I don't believe in the tragedy.	Levin sospirò.	, wiederholte er und richtete seine feucht schimmernden, glänzenden Augen bald auf Ljewin, bald auf den Tataren.
