ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
'In that direction,' the Cat said, waving its right paw round, 'lives a Hatter: and in that direction,' waving the other paw, 'lives a March Hare.	'Ha envejecido y sería muy raro,' dijo el chico,	Guglielmo!	'Você está velho, disse o jovem, ' e suas mandíbulas estão muito fracas	Cependant sa position était bien gênante, et comme il ne semblait pas y avoir la moindre chance qu’elle pût jamais sortir de cette chambre, il n’y a pas à s’étonner qu’elle se trouvât bien malheureuse.	aber ich glaube, ich muß seitdem ein paar Mal verwechselt worden sein.«
Visit either you like: they're both mad.'	'Si aún tuviera la vista perfecta;	il padrone dice che devi scendere giù nel camino!	para qualquer coisa mais dura que um sebo;	« C’était bien plus agréable chez nous, » pensa la pauvre enfant.	»Was meinst du damit?«
'But I don't want to go among mad people,' Alice remarked.	¿Pues cómo hizo bailar en su pico	“Magnifico!” — disse Alice fra sè.	No entanto você terminou o ganso, com os ossos e o bico--	« Là du moins je ne passais pas mon temps à grandir et à rapetisser, et je n’étais pas la domestique des lapins et des souris.	frage die Raupe strenge. »
'Oh, you can't help that,' said the Cat: 'we're all mad here.	Esta anguila de forma tan recta?'	— Così questo Guglielmo scenderà dal camino?	Ora como você consegue isto?	Je voudrais bien n’être jamais descendue dans ce terrier ;	Erkläre dich deutlicher!«
I'm mad.	'Tres preguntas ya has posado, Y a ninguna más contestaré.	Pare che quei signori aspettino tutto da Guglielmo!	'	et pourtant c’est assez drôle cette manière de vivre !	»Ich kann mich nicht deutlicher erklären, fürchte ich, Raupe,« sagte Alice, »weil ich nicht ich bin, sehen Sie wohl?«
You're mad.'	Si no te vas ahora mismo, ¡Vaya golpe que te pegaré!	Non vorrei essere nei suoi panni.	'Em minha juventude,' disse o pai,	Je suis curieuse de savoir ce que c’est qui m’est arrivé.	»Ich sehe nicht wohl,« sagte die Raupe.
'How do you know I'm mad?' said Alice.	--Eso no está bien --dijo la Oruga.	Il camino è molto stretto, ma qualche calcio, credo, glielo potrò assestare.	'Tomei a lei, e argumentei cada caso com minha esposa;	Autrefois, quand je lisais des contes de fées, je m’imaginais que rien de tout cela ne pouvait être, et maintenant me voilà en pleine féerie.	»Ich kann es wirklich nicht besser ausdrücken,« erwiderte Alice sehr höflich, »
'You must be,' said the Cat, 'or you wouldn't have come here.'	--No, me temo que no está del todo bien --reconoció Alicia con timidez--.	”	E a força muscular, que deu as minhas mandíbulas,	On devrait faire un livre sur mes aventures ;	denn ich kann es selbst nicht begreifen;
Alice didn't think that proved it at all; however, she went on 'And how do you know that you're mad?'	Algunas palabras tal vez me han salido revueltas.	E ritirò il piede più che potè lungi dal camino, ed attese sinchè sentì un animaletto (senza che potesse indovinare a che specie appartenesse) che raschiava e scendeva adagino adagino per la canna del camino.	permaneceu pelo resto de minha vida.	il y aurait de quoi !	und wenn man an einem Tage so oft klein und groß wird, wird man ganz verwirrt.«
'To begin with,' said the Cat, 'a dog's not mad.	--Está mal de cabo a rabo-- sentenció la Oruga en tono implacable, y siguió un silencio de varios minutos.	— È Guglielmo!	'	Quand je serai grande j’en ferai un, moi.	»Nein, das wird man nicht,« sagte die Raupe.
You grant that?'	La Oruga fue la primera en hablar.	— ella disse, e tirò un gran calcio, aspettando il seguito.	'Você está velho,' disse o jovem, 'um dificilmente suporia	— Mais je suis déjà bien grande !	»Vielleicht haben Sie es noch nicht versucht,« sagte Alice, »aber wenn Sie sich in eine Puppe verwandeln werden, das müssen Sie über kurz oder lang wie Sie wissen und dann in einen Schmetterling, das wird sich doch komisch anfühlen, nicht wahr?«
'I suppose so,' said Alice.	¿Qué tamaño te gustaría tener? --le preguntó.	La prima cosa che sentì fu un coro di voci che diceva:	que seus olhos eram tão firmes como nunca;	» dit-elle tristement.	»Durchaus nicht,« sagte die Raupe.
'Well, then,' the Cat went on, 'you see, a dog growls when it's angry, and wags its tail when it's pleased.	--No soy difícil en asunto de tamaños --se apresuró a contestar Alicia--.	— Ecco Guglielmo che vola!	No entanto você equilibrou uma enguia na ponta do seu nariz--	« Dans tous les cas, il n’y a plus de place ici pour grandir davantage.	»Sie fühlen wahrscheinlich anders darin,« sagte Alice;
Now I growl when I'm pleased, and wag my tail when I'm angry.	Sólo que no es agradable estar cambiando tan a menudo, sabe.	— e poi la voce sola del Coniglio:	O que te fez tão terrivelmente esperto?	»	»so viel weiß ich, daß es mir sehr komisch sein würde.«
Therefore I'm mad.'	--No sé nada --dijo la Oruga.	— Pigliatelo voi altri presso la siepe! — e poi silenzio, e poi di nuovo una gran confusione di voci... — Sostenetegli il capo... un po' d'acquavite... Non lo strozzate... Com'è andata amico?	'	« Mais alors, » pensa Alice, « ne serai-je donc jamais plus vieille que je ne le suis maintenant ?	»Dir!« sagte die Raupe verächtlich.
'I call it purring, not growling,' said Alice.	Alicia no contestó.	... Che cosa ti è accaduto?	'Respondi três questões, e isto é suficiente,' disse o pai; 'Não seja arrogante!	D’un côté cela aura ses avantages, ne jamais être une vieille femme.	»Wer bist du denn?«
'Call it what you like,' said the Cat.	Nunca en toda su vida le habían llevado tanto la contraria, y sintió que se le estaba acabando la paciencia.	Racconta!	Você acha que posso ouvir o dia todo tais coisas?	Mais alors avoir toujours des leçons à apprendre !	Was sie wieder auf den Anfang der Unterhaltung zurückbrachte.
'Do you play croquet with the Queen to-day?'	--¿Estás contenta con tu tamaño actual? --preguntó la Oruga.	Finalmente si sentì una vocina esile e stridula (— Guglielmo, — pensò Alice):	Vá embora, ou eu vou chutá-lo escada abaixo!	Oh, je n’aimerais pas cela du tout.	Alice war etwas ärgerlich, daß die Raupe so sehr kurz angebunden war;
'I should like it very much,' said Alice, 'but I haven't been invited yet.'	--Bueno, me gustaría ser un poco más alta, si a usted no le importa.	— Veramente, non so.	'	»	sie warf den Kopf in die Höhe und sprach sehr ernst:
'You'll see me there,' said the Cat, and vanished.	¡Siete centímetros es una estatura tan insignificante!	Basta, grazie, ora mi sento meglio... ma son troppo agitato per raccontarvelo... tutto quello che mi ricordo si è qualche cosa come un babau che m'ha fatto saltare in aria come un razzo!	'Isso não está certo', disse a Lagarta.	« Oh !	»Ich dächte, Sie sollten mir erst sagen, wer Sie sind?«
Alice was not much surprised at this, she was getting so used to queer things happening.	¡Es una estatura perfecta! --dijo la Oruga muy enfadada, irguiéndose cuan larga era (medía exactamente siete centímetros).	— Davvero, poveretto!	'Não completamente certo, receio', disse Alice, timidamente; 'algumas das palavras foram alteradas.	Alice, petite folle,	»Weshalb ?« fragte die Raupe.
While she was looking at the place where it had been, it suddenly appeared again.	--¡Pero yo no estoy acostumbrada a medir siete centímetros! se lamentó la pobre Alicia con voz lastimera, mientras pensaba para sus adentros: «¡Ojalá estas criaturas no se ofendieran tan fácilmente!»	— dissero gli altri.	'	» se répondit-elle.	Das war wieder eine schwierige Frage;
'By-the-bye, what became of the baby?' said the Cat.	--Ya te irás acostumbrando --dijo la Oruga, y volvió a meterse la pipa en la boca y empezó otra vez a fumar.	— Si deve appiccar fuoco alla casa!	'Está errado do começo ao fim', disse a Lagarta decididamente, e houve silêncio por alguns minutos.	« Comment pourriez-vous apprendre des leçons ici ?	und da sich Alice auf keinen guten Grund besinnen konnte und die Raupe sehr schlechter Laune zu sein schien, so ging sie ihrer Wege.
'I'd nearly forgotten to ask.'	Esta vez Alicia esperó pacientemente a que se decidiera a hablar de nuevo.	— esclamò la voce del Coniglio;	'De que tamanho você quer ser?	Il y a à peine de la place pour vous, et il n’y en a pas du tout pour vos livres de leçons.	»Komm zurück!« rief ihr die Raupe nach, »ich habe dir etwas Wichtiges zu sagen!«
'It turned into a pig,' Alice quietly said, just as if it had come back in a natural way.	Al cabo de uno o dos minutos la Oruga se sacó la pipa de la boca, dio unos bostezos y se desperezó.	ma Alice gridò subito con quanta forza aveva in gola:	', ela perguntou.	»	Das klang sehr einladend;
'I thought it would,' said the Cat, and vanished again.	Después bajó de la seta y empezó a deslizarse por la hierba, al tiempo que decía: --Un lado te hará crecer, y el otro lado te hará disminuir.	— Se lo fate, guai!	'Oh, eu não sou exigente quanto ao tamanho', respondeu Alice apressadamente; 'apenas não se gosta de mudar tão frequentemente, sabe.	Et elle continua ainsi, faisant tantôt les demandes et tantôt les réponses, et établissant sur ce sujet toute une conversation ;	Alice kehrte wieder um und kam zu ihr zurück.
Alice waited a little, half expecting to see it again, but it did not appear, and after a minute or two she walked on in the direction in which the March Hare was said to live.	--Un lado ¿de qué?	Vi farò acchiappare da Dina!	'	mais au bout de quelques instants elle entendit une voix au dehors, et s’arrêta pour écouter.	»Sei nicht empfindlich,« sagte die Raupe.
'I've seen hatters before,' she said to herself; 'the March Hare will be much the most interesting, and perhaps as this is May it won't be raving mad--at least not so mad as it was in March.'	El otro lado ¿de que? --se dijo Alicia para sus adentros.	Si fece immediatamente un silenzio mortale, e Alice disse fra sè:	'Eu não sei', disse a Lagarta.	« Marianne !	»Ist das Alles?« fragte Alice, ihren Ärger so gut sie konnte verbergend.
As she said this, she looked up, and there was the Cat again, sitting on a branch of a tree.	--De la seta --dijo la Oruga, como si la niña se lo hubiera preguntado en voz alta	“Chi sa che faranno ora!	Alice não disse nada: ela nunca tinha sido tão contradita na vida antes e ela achou que estivesse perdendo a calma.	Marianne !	»Nein,« sagte die Raupe.
'Did you say pig, or fig?' said the Cat.	.	Se avessero tanto di cervello in testa scoperchierebbero la casa.	'Você está satisfeita agora?	» criait la voix ;	Alice dachte, sie wollte doch warten, da sie sonst nichts zu thun habe, und vielleicht würde sie ihr etwas sagen, das der Mühe werth sei.
'I said pig,' replied Alice; 'and I wish you wouldn't keep appearing and vanishing so suddenly: you make one quite giddy.'	Y al cabo de unos instantes se perdió de vista.	” Dopo uno o due minuti cominciarono a muoversi di nuovo e sentì il Coniglio dire:	' disse a Lagarta.	« allez chercher mes gants bien vite ! »	Einige Minuten lang rauchte die Raupe fort ohne zu reden;
'All right,' said the Cat; and this time it vanished quite slowly, beginning with the end of the tail, and ending with the grin, which remained some time after the rest of it had gone.	Alicia se quedó un rato contemplando pensativa la seta, en un intento de descubrir cuáles serían sus dos lados, y, como era perfectamente redonda, el problema no resultaba nada fácil.	— Basterà una carriola piena per cominciare.	'Bem, eu gostaria de ser um pouco maior, senhor, se você não se importasse', disse Alice: 'três polegadas é uma estatura tão infeliz de se ter'.	Puis Alice entendit des piétinements dans l’escalier.	aber zuletzt nahm sie die Huhka wieder aus dem Munde und sprach: »Du glaubst also, du bist verwandelt?«
'Well! I've often seen a cat without a grin,' thought Alice; 'but a grin without a cat!	Así pues, extendió los brazos todo lo que pudo alrededor de la seta y arrancó con cada mano un pedacito.	—	'É certamente uma estatura muito boa!', disse a Lagarta zangadamente, empinando-se verticalmente enquanto falava (ela tinha exatamente sete centímetros de altura).	Elle savait que c’était le Lapin qui la cherchait ;	»Ich fürchte es fast, Raupe« sagte Alice, »ich kann Sachen nicht behalten wie sonst, und ich werde alle zehn Minuten größer oder kleiner!«
It's the most curious thing I ever saw in my life!'	--Y ahora --se dijo--, ¿cuál será cuál?	“Piena di che?” — pensò Alice;	'Mas eu não estou acostumada com ela!', alegou a pobre Alice em um tom de lástima.	elle trembla si fort qu’elle en ébranla la maison, oubliant que maintenant elle était mille fois plus grande que le Lapin, et n’avait rien à craindre de lui.	»Kannst welche Sachen nicht behalten?« fragte die Raupe.
She had not gone much farther before she came in sight of the house of the March Hare: she thought it must be the right house, because the chimneys were shaped like ears and the roof was thatched with fur.	Dio un mordisquito al pedazo de la mano derecha para ver el efecto y al instante sintió un rudo golpe en la barbilla.	ma non restò molto in dubbio, perchè subito una grandine di sassolini cominciò a tintinnare contro la finestra ed alcuni la colpirono in faccia.	E ela pensou para consigo, 'Eu queria que os animais não fossem ofendidos tão facilmente!	Le Lapin, arrivé à la porte, essaya de l’ouvrir ;	»Ach, ich habe versucht zu sagen: Bei einem Wirthe etc.; aber es kam ganz anders!«
It was so large a house, that she did not like to go nearer till she had nibbled some more of the lefthand bit of mushroom, and raised herself to about two feet high: even then she walked up towards it rather timidly, saying to herself 'Suppose it should be raving mad after all!	¡La barbilla le había chocado con los pies!	“Bisogna finirla!” — pensò Alice, e strillò:	'	mais, comme elle s’ouvrait en dedans et que le coude d’Alice était fortement appuyé contre la porte, la tentative fut vaine.	antwortete Alice in niedergeschlagenem Tone.
I almost wish I'd gone to see the Hatter instead!'	Se asustó mucho con este cambio tan repentino, pero comprendió que estaba disminuyendo rápidamente de tamaño, que no había por tanto tiempo que perder y que debía apresurarse a morder el otro pedazo.	— Non vi provate più!	'Você vai se acostumar com ela com o tempo', disse a Lagarta; e colocou o narguilé na boca e começou a fumar de novo.	Alice entendit le Lapin qui murmurait :	»Sage her: Ihr seid alt, Vater Martin,« sagte die Raupe.
CHAPTER VII A Mad Tea-Party	Tenía la mandíbula tan apretada contra los pies que resultaba difícil abrir la boca, pero lo consiguió al fin, y pudo tragar un trocito del pedazo de seta que tenía en la mano izquierda.	— Successe di nuovo un silenzio di tomba.	Desta vez Alice esperou pacientemente até ela escolher falar novamente.	« C’est bon, je vais faire le tour et j’entrerai par la fenêtre	Alice faltete die Hände und fing an:
There was a table set out under a tree in front of the house, and the March Hare and the Hatter were having tea at it: a Dormouse was sitting between them, fast asleep, and the other two were using it as a cushion, resting their elbows on it, and talking over its head.	«¡Vaya, por fin tengo libre la cabeza!», se dijo Alicia con alivio, pero el alivio se transformó inmediatamente en alarma, al advertir que había perdido de vista sus propios hombros: todo lo que podía ver, al mirar hacia abajo, era un larguísimo pedazo de cuello, que parecía brotar como un tallo del mar de hojas verdes que se extendía muy por debajo de ella.	Alice osservò con sorpresa che i sassolini si trasformavano in pasticcini, toccando il pavimento, e subito un'idea la fece sussultare di gioia:	Em um ou dois minutos a Lagarta tirou o narguilé da boca e bocejou uma ou duas vezes e sacudiu-se.	.	»Ihr seid alt, Vater Martin,« so sprach Junker Tropf,
'Very uncomfortable for the Dormouse,' thought Alice; 'only, as it's asleep, I suppose it doesn't mind.'	--¿Qué puede ser todo este verde? --dijo Alicia--.	— Se mangio uno di questi pasticcini, — disse, — certo avverrà un mutamento nella mia statura.	Então, ela desceu do cogumelo e andou para dentro da grama, apenas comentando enquanto ia, '	»	»Euer Haar ist schon lange ganz weiß;
The table was a large one, but the three were all crowded together at one corner of it: 'No room!	¿Y dónde se habrán marchado mis hombros?	Giacchè non potranno farmi più grande, mi faranno forse più piccola.	Um lado vai fazer você crescer e o outro lado vai fazer você encolher'.	« Je t’en défie !	Doch steht ihr so gerne noch auf dem Kopf.
No room!' they cried out when they saw Alice coming.	Y, oh mis pobres manos, ¿cómo es que no puedo veros?	E ingoiò un pasticcino, e si rallegrò di veder che cominciava a contrarsi.	'Um lado de quê?	» pensa Alice.	Macht Euch denn das nicht zu heiß?«
'There's plenty of room!' said Alice indignantly, and she sat down in a large arm-chair at one end of the table.	Mientras hablaba movía las manos, pero no pareció conseguir ningún resultado, salvo un ligero estremecimiento que agitó aquella verde hojarasca distante.	Appena si sentì piccina abbastanza per uscir dalla porta, scappò da quella casa, e incontrò una folla di piccoli animali e d'uccelli che aspettavano fuori.	O outro lado de quê?	Elle attendit un peu ;	»Als ich jung war,« der Vater zur Antwort gab,
'Have some wine,' the March Hare said in an encouraging tone.	Como no había modo de que sus manos subieran hasta su cabeza, decidió bajar la cabeza hasta las manos, y descubrió con entusiasmo que su cuello se doblaba con mucha facilidad en cualquier dirección, como una serpiente.	La povera Lucertola (era Guglielmo) stava nel mezzo, sostenuta da due Porcellini d'India, che la facevano bere da una bottiglia.	', pensou Alice consigo mesma.	puis, quand elle crut que le Lapin était sous la fenêtre, elle étendit le bras tout à coup pour le saisir ;	»Da glaubt' ich, für's Hirn sei's nicht gut;
Alice looked all round the table, but there was nothing on it but tea.	Acababa de lograr que su cabeza descendiera por el aire en un gracioso zigzag y se disponía a introducirla entre las hojas, que descubrió no eran más que las copas de los árboles bajo los que antes había estado paseando, cuando un agudo silbido la hizo retroceder a toda prisa.	Appena comparve Alice, tutti le si scagliarono contro;	'Do cogumelo', disse a Lagarta, como se ela tivesse perguntado em voz alta; e em seguida ela estava fora de vista.	elle ne prit que du vent.	Doch seit ich entdeckt, daß ich gar keines hab',
'I don't see any wine,' she remarked.	Una gran paloma se precipitaba contra su cabeza y la golpeaba violentamente con las alas.	ma la fanciulla si mise a correre più velocemente che le fu possibile, e riparò incolume in un folto bosco.	Alice ficou olhando atenciosamente para o cogumelo por um minuto, tentando adivinhar quais eram os dois lados dele; e como ele era perfeitamente redondo, ela achou esta uma questão muito difícil.	Mais elle entendit un petit cri, puis le bruit d’une chute et de vitres cassées (ce qui lui fit penser que le Lapin était tombé sur les châssis de quelque serre à concombre),	So thu' ich's mit fröhlichem Muth.«
'There isn't any,' said the March Hare.	--¡Serpiente! --chilló la paloma.	“La prima cosa che dovrò fare, — pensò Alice, vagando nel bosco, — è di ricrescere e giungere alla mia statura normale;	Contudo, finalmente ela esticou os braços dela em volta dele tão longe quanto eles iam e partiu um pedaço da borda com cada mão.	puis une voix colère, celle du Lapin : « Patrice !	»Ihr seid alt,« sprach der Sohn, »wie vorhin schon gesagt,
'Then it wasn't very civil of you to offer it,' said Alice angrily.	--¡Yo no soy una serpiente! --protestó Alicia muy indignada--.	la seconda, di trovare la via per entrare in quel bel giardino.	'E agora, qual é qual?	Patrice !	Und geworden ein gar dicker Mann;
'It wasn't very civil of you to sit down without being invited,' said the March Hare.	¡Y déjame en paz!	Credo che non ci sia altro di meglio da fare”.	' ela disse a si mesma, e mordiscou um pouco do pedaço da mão direita para provar o efeito: em seguida ela sentiu um sopro violento por baixo de seu queixo: ele tinha batido nos pés dela!	où es-tu ?	Drum sprecht, wie ihr rücklings den Purzelbaum schlagt.
'I didn't know it was your table,' said Alice; 'it's laid for a great many more than three.'	--¡Serpiente, más que serpiente! --siguió la Paloma, aunque en un tono menos convencido, y añadió en una especie de sollozo--: ¡Lo he intentado todo, y nada ha dado resultado	Il suo progetto era eccellente, senza dubbio;	Ela ficou bastante assustada com essa mudança tão súbita, mas sentiu que não havia tempo a perder, já que ela estava encolhendo rapidamente; então ela decidiu pôs imediatamente mãos à obra para comer um pouco do outro pedaço.	»	Potz tausend
'Your hair wants cutting,' said the Hatter.	!	ma la difficoltà stava nel fatto ch'ella non sapeva di dove cominciare a metterlo in atto.	O queixo dela estava pressionado tão junto contra seus pés, que mal havia espaço para abrir a boca;	Une voix qu’elle ne connaissait pas répondit :	!
He had been looking at Alice for some time with great curiosity, and this was his first speech.	--No tengo la menor idea de lo que usted está diciendo! --dijo Alicia.	Mentre aguzzava gli occhi, guardando fra gli alberi della foresta, un piccolo latrato acuto al di sopra di lei la fece guardare in su presto presto.	mas ela o fez finalmente e conseguiu engolir um bocado do pedaço da mão esquerda.	« Me v’là, not’ maître !	wie fangt ihr's nur an?«
'You should learn not to make personal remarks,' Alice said with some severity; 'it's very rude.'	--Lo he intentado en las raíces de los árboles, y lo he intentado en las riberas, y lo he intentado en los setos --siguió la Paloma, sin escuchar lo que Alicia le decía--.	Un enorme cucciolo la squadrava con i suoi occhi tondi ed enormi, e allungando una zampa cercava di toccarla.	'Ora vamos, minha cabeça está livre finalmente!	J’bêchons la terre pour trouver des pommes !	»Als ich jung war,« der Alte mit Kopfschütteln sagt',
The Hatter opened his eyes very wide on hearing this; but all he said was, 'Why is a raven like a writing-desk?'	¡Pero siempre estas serpientes!	— Poverino!	' disse Alice em tom de alegria, o qual mudou para inquietação no momento seguinte, quando ela percebeu que seus ombros não podiam ser achados: tudo que podia ver, quando olhava para baixo, era uma imensa extensão de pescoço, que parecia erguer-se como um talo para fora do mar de folhas verdes que se encontrava muito abaixo dela.	»	»Da rieb ich die Glieder mir ein.
'Come, we shall have some fun now!' thought Alice.	¡No hay modo de librarse de ellas!	— disse Alice in tono carezzevole, e per ammansirlo si provò a dirgli:	'O que será toda aquela coisa verde?	« Pour trouver des pommes !	Mit der Salbe hier, die sie geschmeidig macht.
'I'm glad they've begun asking riddles.--I believe I can guess that,' she added aloud.	Alicia se sentía cada vez más confusa, pero pensó que de nada serviría todo lo que ella pudiera decir ahora y que era mejor esperar a que la Paloma terminara su discurso.	— Te', te'!	' disse Alice.	» dit le Lapin furieux.	Für zwei Groschen Courant ist sie dein.«
'Do you mean that you think you can find out the answer to it?' said the March Hare.	--¡Como si no fuera ya bastante engorro empollar los huevos! --dijo la Paloma--.	— ma tremava come una canna, pensando che forse era affamato.	'E aonde foram os meus ombros?	« Viens m’aider à me tirer d’ici.	»Ihr seid alt,« sprach der Bub', »und könnt nicht recht kau'n,
'Exactly so,' said Alice.	¡Encima hay que guardarlos día y noche contra las serpientes!	In questo caso esso l'avrebbe probabilmente divorata, nonostante tutte le sue carezze.	E oh, minhas pobres mãos, como é que eu não posso vê-las?	»	Und solltet euch nehmen in Acht;
'Then you should say what you mean,' the March Hare went on.	¡No he podido pegar ojo durante tres semanas!	Per far la disinvolta, prese un ramoscello e lo presentò al cagnolino;	' Ela as estava movendo por todo lado enquanto falava, mas nenhum resultado parecia se seguir, a não ser por uma pequena sacudida entre as folhas verdes distantes.	(Nouveau bruit de vitres cassées.	Doch aßt ihr die Gans mit Schnabel und Klau'n;
'I do,' Alice hastily replied; 'at least--at least I mean what I say--that's the same thing, you know.'	--Siento mucho que sufra usted tantas molestias --dijo Alicia, que empezaba a comprender el significado de las palabras de la Paloma	il quale diede un balzo in aria come una palla con un latrato di gioia, e s'avventò al ramoscello come per sbranarlo.	Como parecia não haver chance de levantar suas mãos até a cabeça, ela tentou abaixar a cabeça até elas, e ficou encantada ao descobrir que seu pescoço se dobraria facilmente em qualquer direção, como uma serpente.	)	Wie habt ihr das nur gemacht?«
'Not the same thing a bit!' said the Hatter.	.	Allora Alice si mise cautamente dietro un cardo altissimo per non esser travolta;	Ela acabara de conseguir curvá-lo em um elegante ziguezague, e ia mergulhá-lo entre as folhas, que ela achava não serem nada além do topo das árvores sob as quais ela havia vagado, quando um assovio agudo a fez retroceder apressadamente:	« Dis-moi un peu, Patrice, qu’est-ce qu’il y a là à la fenêtre	»Ich war früher Jurist und hab' viel disputirt
'You might just as well say that 'I see what I eat' is the same thing as 'I eat what I see'!'	--¡Y justo cuando elijo el árbol más alto del bosque --continuó la Paloma, levantando la voz en un chillido--, y justo cuando me creía por fin libre de ellas, tienen que empezar a bajar culebreando desde el cielo!	quando si affacciò dall'altro lato, il cagnolino s'era avventato nuovamente al ramoscello, ed aveva fatto un capitombolo nella furia di afferrarlo.	uma grande pomba voou ao rosto dela, e estava batendo nela violentamente com as asas dele.	?	Besonders mit meiner Frau;
'You might just as well say,' added the March Hare, 'that 'I like what I get' is the same thing as 'I get what I like'!'	¡Qué asco de serpientes!	Ma ad Alice sembrò che fosse come voler scherzare con un cavallo da trasporto.	'Serpente!' gritou a Pomba.	»	Das hat so mir die Kinnbacken einexercirt,
'You might just as well say,' added the Dormouse, who seemed to be talking in his sleep, 'that 'I breathe when I sleep' is the same thing as 'I sleep when I breathe'!'	--Pero le digo que yo no soy una serpiente.	Temendo d'esser calpestata dalle zampe della bestia, si rifugiò di nuovo dietro al cardo:	'Eu não sou uma serpente!	« Ça, not’ maître, c’est un bras.	Daß ich jetzt noch mit Leichtigkeit kau!«
'It is the same thing with you,' said the Hatter, and here the conversation dropped, and the party sat silent for a minute, while Alice thought over all she could remember about ravens and writing-desks, which wasn't much.	Yo soy una...	allora il cagnolino cominciò una serie di cariche contro il ramoscello, andando sempre più in là, e rimanendo sempre più in qua del necessario, abbaiando raucamente sinchè non s'acquattò ansante a una certa distanza con la lingua penzoloni, e i grandi occhi semichiusi.	' disse Alice indignada.	»	»Ihr seid alt,« sagt der Sohn, »und habt nicht viel Witz,
The Hatter was the first to break the silence.	Yo soy una...	Alice colse quell'occasione per scappare.	'	« Un bras, imbécile !	Und doch seid ihr so geschickt;
'What day of the month is it?' he said, turning to Alice: he had taken his watch out of his pocket, and was looking at it uneasily, shaking it every now and then, and holding it to his ear.	--Bueno, qué eres, pues? --dijo la Paloma--.	Corse tanto da perdere il fiato, sinchè il latrato del cagnolino si perse in lontananza.	Deixe-me em paz!	Qui a jamais vu un bras de cette dimension ?	Balancirt
Alice considered a little, and then said 'The fourth.	¡Veamos qué demonios inventas ahora!	— E pure che bel cucciolo che era!	'	Ça bouche toute la fenêtre.	einen Aal auf der Nasenspitz
''Two	--Soy... soy una niñita --dijo Alicia, llena de dudas, pues tenía muy presentes todos los cambios que había sufrido a lo largo del día.	— disse Alice, appoggiandosi a un ranuncolo e facendosi vento con una delle sue foglie.	'Serpente, eu digo de novo!' repetiu a Pomba, mas em tom mais desanimado, e acrescentou com um pequeno soluço, 'Eu tentei de todas as formas, e nada parece convir a elas!	»	'
days	--¡A otro con este cuento! --respondió la Paloma, en tono del más profundo desprecio--.	— Oh, avrei voluto insegnargli dei giuochi se... se fossi stata d'una statura adatta!	'	« Bien sûr, not’ maître, mais c’est un bras tout de même	!
wrong!' sighed the Hatter.	He visto montones de niñitas a lo largo de mi vida, ¡pero ninguna que tuviera un cuello como el tuyo!	Poveretta me!	'Eu não tenho a menor idéia do que você está falando,' disse Alice.	.	Wie ist euch das nur geglückt?«
'I told you butter wouldn't suit the works!' he added looking angrily at the March Hare.	¡No, no!	avevo dimenticato che avevo bisogno di crescere ancora!	'Eu tentei as raízes das árvores, e tentei margens, e tentei sebes,' a Pomba continuou, sem atender ela; 'mas essas serpentes!	»	»Drei Antworten hast du, und damit genug, Nun laß mich kein Wort mehr hören;
'It was the best butter,' the March Hare meekly replied.	Eres una serpiente, y de nada sirve negarlo.	Vediamo, come debbo fare?	Nada as contenta!'	« Dans tous les cas il n’a rien à faire ici.	Du Guck in die Welt thust so überklug, Ich werde dich Mores lehren!«
'Yes, but some crumbs must have got in as well,' the Hatter grumbled: 'you shouldn't have put it in with the bread-knife.'	¡Supongo que ahora me dirás que en tu vida te has zampado un huevo!	Forse dovrei mangiare o bere qualche cosa;	Alice estava mais e mais intrigada, mas achou inútil dizer qualquer coisa mais até que a Pomba tivesse terminado.	Enlève-moi ça bien vite	»Das ist nicht richtig,« sagte die Raupe.
The March Hare took the watch and looked at it gloomily: then he dipped it into his cup of tea, and looked at it again: but he could think of nothing better to say than his first remark, 'It was the best butter, you know.'	--Bueno, huevos si he comido --reconoció Alicia, que siempre decía la verdad--	ma che cosa?	'Como se não fosse problema o suficiente chocar os ovos,' disse a Pomba; 'mas eu tenho que tomar cuidado com serpentes noite e dia!	.	»Nicht ganz richtig, glaube ich,« sagte Alice schüchtern;
Alice had been looking over his shoulder with some curiosity.	.	Il problema era questo:	Ora essa, eu não preguei os olhos estas três semanas!	»	»manche Wörter sind anders gekommen.«
'What a funny watch!' she remarked.	Pero es que las niñas también comen huevos, igual que las serpientes, sabe.	che cosa?	'	Il se fit un long silence, et Alice n’entendait plus que des chuchotements de temps à autre, comme : « Maître, j’osons point. »	»Es ist von Anfang bis zu Ende falsch,« sagte die Raupe mit Entschiedenheit, worauf eine Pause von einigen Minuten eintrat.
'It tells the day of the month, and doesn't tell what o'clock it is!'	--No lo creo --dijo la Paloma--, pero, si es verdad que comen huevos, entonces no son más que una variedad de serpientes, y eso es todo.	Alice guardò intorno fra i fiori e i fili d'erba;	'Eu sinto muito que você tenha sido incomodada,' disse Alice, que estava começando a ver o que ela queria dizer.	— « Fais ce que je te dis, capon ! »	Die Raupe sprach zuerst wieder.
